W ilu językach mówią obecnie ludzie na świecie?;W ponad 6000 językach;W 350 językach;W około 1500 językach
Jakie państwo afrykańskie ma największą powierzchnię?;Algieria;Angola;Egipt
Ilu ludzi było na świecie 2000 lat temu - około 1 roku naszej ery?;Około 250 milionów;Około 750 milionów;Około miliard
Jaki kraj jest trzecim najludniejszym krajem świata?;USA;Brazylia;Rosja
W jakim kraju są najwyższe wulkany na świecie?;W Argentynie;W Peru;W Ekwadorze
Ile wynosi rekord prędkości pojazdu lądowego?;Około 1200 km/h;Około 1350 km/h;Około 1100 km/h
Jaki jest najmniejszy ssak świata?;Ryjówka etruska;Nietoperz lilipuci;Ryjówka malutka
Ile może ważyć płetwal błękitny?;Do 180 ton;Do 140 ton;Do 90 ton
Ile lat ma wszechświat?;Około 13,8 miliarda lat;Około 11 miliardów lat;Około 7 miliardów lat
Ile jest galaktyk we wszechświecie?;Od 100 do 200 miliardów;Około 200 milionów;Około 20 miliardów
Dlaczego niebo jest niebieskie?;Przez efekt rozpraszania światła słonecznego przez ziemską atmosferę;Ze względu na kolor atomów tlenu;Ze względu na dużą zawartość pary wodnej w powietrzu
Ile pasażerów może pomieścić największy samolot świata?;900;853;624
Pierwszą żywą istotą wysłaną w kosmos była;Mucha owocówka;Mysz;Małpa
Ile lat temu wynaleziono odkurzacz?;114 lat temu;132 lata temu;95 lat temu
Ile ważyło największe warzywo wyhodowane przez człowieka?;1056 kg - dynia;913 kg - dynia;763 kg - batat
Największym owocem świata jest;Dżakfrut;Patonia;Rambutan
Najdłużej żyjącymi istotami żywymi są;Koralowce;Małże;Żółwie olbrzymie
Jak długo mogą żyć drzewa oliwkowe?;Około 2900 lat;Około 2200 lat;Około 3500 lat
Jaka roślina żyje najdłużej?;Sosna długowieczna;Drzewo oliwkowe;Sekwoja
Jakiego koloru nie widzą psy?;Czerwonego;Niebieskiego;Żółtego
Ile mrówek przypada na jednego człowieka?;Ponad milion;Około tysiąca;Około 100
Gdzie krewetka ma serce?;W głowie;W brzuchu;W dolnej części ciała
Jakie zwierze ma największe oczy?;Kałamarnica olbrzymia;Humbak;Płetwal błękitny
W czasach dinozaurów żyły również;Krokodyle;Wieloryby;Nietoperze
Jakim organem motyle odczuwają smak?;Nogami;Czułkami;Trąbką gębową
Ile kilometrów pokonuje pieszo przeciętny człowiek w ciągu swojego życia?;80 000;30 000;140 000 
Najbardziej aktywnym mięśniem człowieka jest;Mięsień oka;Serce;Biceps
Ile dokładnie trwa doba?;23 godziny i 56 minut;24 godziny;24 godziny i 2 minuty
Jakie zwierzę ma 40 000 zębów?;Ślimak;Ośmiornica;Pirania
Najpopularniejszymi sztućcami na świecie są;Pałeczki;Łyżki;Widelce
